,place_name,participant_count
922,Библиотека им. Толстого,1
923,Музей Ахматовой,0
924,Библиотека им. Толстого,1
925,Театр поэтов Послушайте!,7
926,Дом ученых,1
927,Дом журналиста,2
928,Европейский университет,5
929,Библиотека им. Толстого,1
930,Театр поэтов Послушайте!,6
931,Музей Достоевского,2
932,Музей Ахматовой,1
933,Смольный институт свободных искусств и наук,2
934,Библиотека им. Толстого,1
935,Библиотека им. Толстого,1
936,Еврейский общинный центр,1
937,Театр поэтов Послушайте!,3
938,Дом ученых,1
939,Филологический факультет СПбГУ,2
940,Галерея Кино-Фот-703,1
941,Филологический факультет СПбГУ,2
942,Европейский университет,2
943,Библиотека им. Толстого,1
944,ЦСЛК,2
945,Пушкинский районный дом культуры,1
946,Дом ученых,1
947,Театр поэтов Послушайте!,12
948,Подвал Бродячей Собаки,2
949,ЦСЛК,1
950,Европейский университет,1
951,Музей Ахматовой,4
952,Библиотека им. Толстого,1
953,Еврейский общинный центр,1
954,Театр поэтов Послушайте!,1
955,Музей Ахматовой,2
956,ЦСЛК,0
957,Европейский университет,3
958,ЦСЛК,5
959,Библиотека им. Толстого,1
960,ЦСЛК,0
961,Музей Достоевского,2
962,Филологический факультет СПбГУ,1
963,Подвал Бродячей Собаки,2
964,Quo Vadis!?,1
965,Санкт-Петербургский союз литераторов,1
966,Дом ученых,1
967,Музей Ахматовой,1
968,ЦСЛК,1
969,Европейский университет,1
970,Философский факультет СПбГУ,0
971,ДКиН СПбГУ,0
972,Библиотека им. Толстого,2
973,Галерея Кино-Фот-703,1
974,ЦСЛК,1
975,Библиотека им. Толстого,0
976,ЦСЛК,0
977,Чайный домик Летнего сада,10
978,Музей Ахматовой,1
979,Библиотека им. Толстого,1
980,Подвал Бродячей Собаки,8
981,Редакция журнала Звезда,1
982,Дом ученых,1
983,Редакция журнала Звезда,1
984,Библиотека им. Толстого,1
985,Школа № 216 им. Адама Мицкевича,7
986,Санкт-Петербургский союз литераторов,1
987,Подвал Бродячей Собаки,3
988,Борей-Арт,1
989,Библиотека им. Толстого,1
990,Центральный лекторий,2
991,Еврейский общинный центр,1
992,Zoom,1
993,Подвал Бродячей Собаки,1
994,Музей Достоевского,2
995,Манеж,0
996,Митьки-Вхутемас,2
997,Zoom,1
998,Библиотека им. Толстого,1
999,Еврейский общинный центр,1
1000,Французский институт,1
1001,Галерея Кино-Фот-703,1
